
Resultados Provinciales
Clasificación por provincias, meses y sexo.
Unidades: personas

,Enero,,,Febrero,,,Marzo,,,Abril,,,Mayo,,,Junio,,,Julio,,,Agosto,,,Septiembre,,,Octubre,,,Noviembre,,,Diciembre,,,
,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,Varón,Mujer,No consta,
Total nacional,115.0,50.0,0.0,118.0,54.0,0.0,142.0,48.0,0.0,139.0,41.0,0.0,154.0,60.0,0.0,198.0,48.0,1.0,128.0,55.0,1.0,141.0,48.0,1.0,170.0,57.0,0.0,120.0,51.0,1.0,108.0,42.0,0.0,132.0,50.0,1.0,
Notas:
Fuente: INE
