Estad�stica de Defunciones seg�n la Causa de Muerte,
Suicidios. Resultados nacionales,
Suicidios por mes de defunci�n, sexo y edad.
Unidades: nﾺ de suicidios,
,
,Todas las edades
enero,
    Ambos sexos,285
febrero,
    Ambos sexos,255
marzo,
    Ambos sexos,302
abril,
    Ambos sexos,307
mayo,
    Ambos sexos,304
junio,
    Ambos sexos,320
julio,
    Ambos sexos,306
agosto,
    Ambos sexos,292
septiembre,
    Ambos sexos,275
octubre,
    Ambos sexos,278
noviembre,
    Ambos sexos,230
diciembre,
    Ambos sexos,245
Notas:,
Fuente: Instituto Nacional de Estad�stica,
