Estad�stica de Defunciones seg�n la Causa de Muerte,
Suicidios. Resultados nacionales,
Suicidios por mes de defunci�n, sexo y edad.
Unidades: nﾺ de suicidios,
,
,Todas las edades
enero,
    Ambos sexos,264
febrero,
    Ambos sexos,221
marzo,
    Ambos sexos,289
abril,
    Ambos sexos,285
mayo,
    Ambos sexos,323
junio,
    Ambos sexos,305
julio,
    Ambos sexos,299
agosto,
    Ambos sexos,302
septiembre,
    Ambos sexos,284
octubre,
    Ambos sexos,267
noviembre,
    Ambos sexos,220
diciembre,
    Ambos sexos,187
Notas:,
Fuente: Instituto Nacional de Estad�stica,
