Estad�stica de Defunciones seg�n la Causa de Muerte,
Suicidios. Resultados nacionales,
Suicidios por mes de defunci�n, sexo y edad.
Unidades: nﾺ de suicidios,
,
,Todas las edades
enero,
    Ambos sexos,257
febrero,
    Ambos sexos,238
marzo,
    Ambos sexos,294
abril,
    Ambos sexos,257
mayo,
    Ambos sexos,314
junio,
    Ambos sexos,302
julio,
    Ambos sexos,315
agosto,
    Ambos sexos,295
septiembre,
    Ambos sexos,272
octubre,
    Ambos sexos,249
noviembre,
    Ambos sexos,237
diciembre,
    Ambos sexos,233
Notas:,
Fuente: Instituto Nacional de Estad�stica,
